Номер указания,Продукция (ввоз)
ФС-АРэ-7/3662-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3663-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3663-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3663-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3663-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3664-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3664-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3664-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3664-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3668-3,"диких свиней, домашних свиней, спермы домашних свиней, полученных in vivo эмбрионов домашних свиней, продуктов убоя свиней, отходов и навоза от свиней, бывшего в употреблении оборудования для содержания, убоя и разделки, охотничьих трофеев, а также  продукции, содержащей свинину, за исключением следующих видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 Кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/3668-3,"готовой продукции, содержащей в своем составе свинину или"
ФС-АРэ-7/3671-3,"диких свиней, домашних свиней, спермы домашних свиней, полученных in vivo эмбрионов домашних свиней, продуктов убоя свиней, отходов и навоза от свиней, бывшего в употреблении оборудования для содержания, убоя и разделки, охотничьих трофеев, а также  продукции, содержащей свинину, за исключением следующих видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 Кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/3671-3,"готовой продукции, содержащей в своем составе свинину или"
ФС-АРэ-7/3672-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3672-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3672-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3672-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3673-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3673-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3673-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3673-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3685-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3685-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3685-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3685-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3686-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3686-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3686-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3686-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3690-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3690-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3690-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3690-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3692-3,"домашних овец и коз, диких восприимчивых к указанному заболеванию жвачных, их генетический материал, а также продукцию, полученную от (-из) указанных животных, не прошедшую обработку по технологии, обеспечивающей разрушение вируса ЧМЖ одним из способов, приведенных в соответствующих статьях гл. 14.7. Кодекса МЭБ."
ФС-АРэ-7/3693-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3693-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25, 10.4.26 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3693-3,готовой продукции из птицы или содержащей в своём составе продукты переработки птицы
ФС-АРэ-7/3693-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а т"
ФС-АРэ-7/3695-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3695-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3695-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3695-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3698-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3698-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3698-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3698-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3699-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3699-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3699-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3699-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц."
ФС-АРэ-7/3710-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3710-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3710-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3710-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3711-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3711-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3711-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3711-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3712-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3712-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3712-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3712-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3713-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3713-3,"мясо птицы, готовая мясная продукция из  птицы и всех видов птицеводческой продукции, содержащей в своем составе  продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3713-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3713-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3724-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3724-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3724-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3724-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3725-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3725-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3725-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3725-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3726-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3726-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25, 10.4.26 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3726-3,готовой продукции из птицы или содержащей в своём составе продукты переработки птицы
ФС-АРэ-7/3726-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а та"
ФС-АРэ-7/3737-3,"диких свиней, домашних свиней, спермы домашних свиней, полученных in vivo эмбрионов домашних свиней, продуктов убоя свиней, отходов и навоза от свиней, бывшего в употреблении оборудования для содержания, убоя и разделки, охотничьих трофеев, а также продукции, содержащей свинину, за исключением следующих видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 Кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/3737-3,"готовой продукции, содержащей в своем составе свинину или"
ФС-АРэ-7/3738-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3738-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3738-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3738-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3745-3,восприимчивых к ящуру живых животных
ФС-АРэ-7/3745-3,"генетического материала (за исключением отобранных in vivo, в соответствии с положениями главы 8.8.17 Кодекса МЭБ)"
ФС-АРэ-7/3745-3,"сырого мяса и мясопродукции, не подвергнутой тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.31 кодекса МЭБ). молока и молочной продукции (не подвергнутых тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.35 Кодекса МЭБ)"
ФС-АРэ-7/3745-3,"шерсти, волос, щетины, трофеев, кишечного сырья, шкур и кожи, не обработанных по технологии, гарантирующей разрушен"
ФС-АРэ-7/3746-3,"домашних овец и коз, диких восприимчивых к указанному заболеванию жвачных, их генетический материал, а также продукцию, полученную от (-из) указанных животных, не прошедшую обработку по технологии, обеспечивающей разрушение вируса ЧМЖ одним из способов, приведенных в соответствующих статьях гл. 14.7. Кодекса МЭБ"
ФС-АРэ-7/3747-3,восприимчивых к ящуру живых животных
ФС-АРэ-7/3747-3,"генетического материала (за исключением отобранных in vivo, в соответствии с положениями главы 8.8.17 Кодекса МЭБ)"
ФС-АРэ-7/3747-3,"сырого мяса и мясопродукции, не подвергнутой тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.31 кодекса МЭБ). молока и молочной продукции (не подвергнутых тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.35 Кодекса МЭБ)"
ФС-АРэ-7/3747-3,"шерсти, волос, щетины, трофеев, кишечного сырья, шкур и кожи, не обработанных по технологии, гарантирующей разрушен"
ФС-АРэ-7/3758-3,"живая птица и инкубационное яйцо, мясо птицы и всех видов птицеводческой продукции, не прошедших тепловую обработку (не менее 70 ºС), корма и кормовые добавки для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а также бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3762-3,"крупный и мелкий рогатый скот, дикие, зоопарковые и цирковые животные, восприимчивые к блютангу, верблюды и другие представители семейства верблюжьих (ламы, альпаки, викуньи), сперма быков, баранов и козлов производителей, эмбрионы крупного и мелкого рогатого скота"
ФС-АРэ-7/3771-3,восприимчивые к нодулярному дерматиту животные (в том числе крупный рогатый скот)
ФС-АРэ-7/3771-3,"продукция полученная от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного рогатого скота), без надлежащей обработки, обеспечивающей разрушение вируса нодулярного дерматита, необработанное кожевенное сырьё, полученное от убоя восприимчивых к нодулярному дерматиту видов животных (в том числе полученное от убойного крупного рогатого скота), генетический материал от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного"
ФС-АРэ-7/3777-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3777-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3777-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3777-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3782-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3782-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3782-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3782-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3783-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3783-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3783-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3783-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3787-3,восприимчивые к нодулярному дерматиту животные (в том числе крупный рогатый скот)
ФС-АРэ-7/3787-3,"продукция полученная от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного рогатого скота), без надлежащей обработки, обеспечивающей разрушение вируса нодулярного дерматита, необработанное кожевенное сырьё, полученное от убоя восприимчивых к нодулярному дерматиту видов животных (в том числе полученное от убойного крупного рогатого скота), генетический материал от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного"
ФС-АРэ-7/3800-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3800-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3800-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3800-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3809-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3809-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3809-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3809-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц."
ФС-АРэ-7/3812-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3812-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25, 10.4.26 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3812-3,готовой продукции из птицы или содержащей в своём составе продукты переработки птицы
ФС-АРэ-7/3812-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а та"
ФС-АРэ-7/3808-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3808-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3808-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3808-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3844-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3844-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25, 10.4.26 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3844-3,готовой продукции из птицы или содержащей в своём составе продукты переработки птицы
ФС-АРэ-7/3844-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а та"
ФС-АРэ-7/3867-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3867-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3867-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3867-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3872-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3872-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25, 10.4.26 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3872-3,готовой продукции из птицы или содержащей в своём составе продукты переработки птицы
ФС-АРэ-7/3872-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а та"
ФС-АРэ-7/3873-3,восприимчивые к нодулярному дерматиту животные (в том числе крупный рогатый скот)
ФС-АРэ-7/3873-3,"продукция полученная от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного рогатого скота), без надлежащей обработки, обеспечивающей разрушение вируса нодулярного дерматита, необработанное кожевенное сырьё, полученное от убоя восприимчивых к нодулярному дерматиту видов животных (в том числе полученное от убойного крупного рогатого скота), генетический материал от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного"
ФС-АРэ-7/3891-3,"домашних овец и коз, диких восприимчивых к указанному заболеванию жвачных, их генетический материал, а также продукцию, полученную от (-из) указанных животных, не прошедшую обработку по технологии, обеспечивающей разрушение вируса ЧМЖ одним из способов, приведенных в соответствующих статьях гл. 14.7. Кодекса МЭБ"
ФС-АРэ-7/3892-3,"живой птицы и инкубационного яйца, мяса птицы и всех видов птицеводческой продукции, не прошедших тепловую обработку (не менее 70 ºС), кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а также бывшего в употреблении оборудования для содержания, убоя и разделки птиц"
ФС-АРэ-7/3893-3,восприимчивые к нодулярному дерматиту животные (в том числе крупный рогатый скот)
ФС-АРэ-7/3893-3,"продукция полученная от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного рогатого скота), без надлежащей обработки, обеспечивающей разрушение вируса нодулярного дерматита, необработанное кожевенное сырьё, полученное от убоя восприимчивых к нодулярному дерматиту видов животных (в том числе полученное от убойного крупного рогатого скота), генетический материал от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного"
ФС-АРэ-7/3894-3,восприимчивые к нодулярному дерматиту животные (в том числе крупный рогатый скот)
ФС-АРэ-7/3894-3,"продукция полученная от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного рогатого скота), без надлежащей обработки, обеспечивающей разрушение вируса нодулярного дерматита, необработанное кожевенное сырьё, полученное от убоя восприимчивых к нодулярному дерматиту видов животных (в том числе полученное от убойного крупного рогатого скота), генетический материал от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного"
ФС-АРэ-7/3896-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3896-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25, 10.4.26 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3896-3,готовой продукции из птицы или содержащей в своём составе продукты переработки птицы
ФС-АРэ-7/3896-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а та"
ФС-АРэ-7/3898-3,"диких свиней, домашних свиней, спермы домашних свиней, полученных in vivo эмбрионов домашних свиней, продуктов убоя свиней, отходов и навоза от свиней, бывшего в употреблении оборудования для содержания, убоя и разделки, охотничьих трофеев, а также продукции, содержащей свинину, за исключением следующих видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 Кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/3898-3,"готовой продукции, содержащей в своем составе свинину или"
ФС-АРэ-7/3914-3,восприимчивые к нодулярному дерматиту животные (в том числе крупный рогатый скот)
ФС-АРэ-7/3914-3,"продукция полученная от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного рогатого скота), без надлежащей обработки, обеспечивающей разрушение вируса нодулярного дерматита, необработанное кожевенное сырьё, полученное от убоя восприимчивых к нодулярному дерматиту видов животных (в том числе полученное от убойного крупного рогатого скота), генетический материал от восприимчивых к нодулярному дерматиту видов животных (в том числе от крупного"
ФС-АРэ-7/3927-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3927-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25, 10.4.26 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3927-3,готовой продукции из птицы или содержащей в своём составе продукты переработки птицы
ФС-АРэ-7/3927-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а та"
ФС-АРэ-7/3967-3,восприимчивых к ящуру живых животных
ФС-АРэ-7/3967-3,"генетического материала (за исключением отобранных in vivo, в соответствии с положениями главы 8.8.17 Кодекса МЭБ)"
ФС-АРэ-7/3967-3,"сырого мяса и мясопродукции, не подвергнутой тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.31 кодекса МЭБ). молока и молочной продукции (не подвергнутых тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.35 Кодекса МЭБ)"
ФС-АРэ-7/3967-3,"шерсти, волос, щетины, трофеев, кишечного сырья, шкур и кожи, не обработанных по технологии, гарантирующей разрушен"
ФС-АРэ-7/3992-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3992-3,"мяса птицы, готовой мясной продукции из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3992-3,"кормов и кормовых добавок для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3992-3,"бывшего в употреблении оборудования для содержания, убоя и разделк"
ФС-АРэ-7/3994-3,живой птицы и инкубационного яйца
ФС-АРэ-7/3994-3,"мяса птицы, готовой мясной продукции из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
